,ht29-pi,pancreas-pi,both-pi,ht29-dapi,pancreas-dapi,both-dapi
a1,0.6775443127127597,,0.530207897307102,0.5291040623260991,,0.6827768014059754
a2,0.5878641677491185,,0.4462917989912199,0.6520734525112489,,0.7262366634335596
a4,0.7673939892960066,,0.6128258602711157,0.9163939303778638,,0.8629130966952264
a5,0.8865538227462914,,0.6920015530964861,0.8694243438816287,,0.9087020033388982
a6,0.8933156263833555,,0.733441630362549,0.9481663035584604,,0.8920570264765784
a7,0.8548890221955608,,0.7334470558503917,0.8998279637159837,,0.793174201491006
a8,0.8342793485756724,,0.8197244118177989,0.7824220229826998,,0.7122863370425605
a9,0.8173319483602909,,0.714881358502009,0.9292692457991403,,0.8836783293643524
b1,0.7905562742561449,,0.5935445307830245,0.5261711018253794,,0.6661974880900823
b2,0.7660862982588947,,0.8347867448866338,0.8640776699029126,,0.7917782538832351
b4,0.6084042021010505,,0.47712352287647714,0.915680751173709,,0.8363574698999491
b5,0.6436953807740324,,0.6666126155342954,0.8463063063063063,,0.757652680304614
b6,0.8986223949134582,,0.8702537683648158,0.8131115459882583,,0.7604319180087847
b7,0.9391019814579168,,0.8087968705276214,0.8970502619833107,,0.8784751278475128
b8,0.4176790950984499,,0.3977329554925821,0.39141575912876364,,0.36368917937545386
b9,0.8148310662571303,,0.9005524861878453,0.8715626010999676,,0.8138730063195907
c1,0.7663683466792275,,0.7216573462125063,0.8898652606912713,,0.8600936381162214
c2,0.4649789029535865,,0.33162447933354694,0.7835841313269494,,0.8252321135991262
c4,0.8230506694670517,,0.6668503720033067,0.8565387117761873,,0.8401937046004843
c5,0.8467043314500942,,0.691923076923077,0.8121475054229935,,0.8166320166320167
c6,0.4296570137605258,,0.14446091929675917,0.26580226904376014,,0.4106005459508644
d1,0.7086029235561946,,0.6937850093358229,0.7448593073593074,,0.7306501547987616
d2,0.8010674429888404,,0.7067164179104478,0.8216128156394243,,0.8361955085865258
d3,0.8445378151260504,,0.7776729559748428,0.8584647018505825,,0.8398026315789474
d4,0.8383349467570184,,0.6717482971132014,0.86281179138322,,0.9010705057216685
d5,0.8078310149407522,,0.6785714285714286,0.7699024139702105,,0.8316430020283976
d6,0.8327837965143665,,0.7314399601395117,0.8690671031096563,,0.8751941998964268
d7,0.7945176370590735,,0.7211447492904447,0.7931985294117647,,0.8179638107695661
d9,0.5198855507868383,,0.27307963354474984,0.42533783783783785,,0.5450151057401813
e1,0.6312660668380463,,0.9037162162162162,0.8831140350877194,,0.7430959302325582
e10,0.7910197699095275,,0.7196044211751018,0.8813740458015267,,0.8088770652478298
e2,0.64821083172147,,0.7118965517241379,0.7884543061301241,,0.599200685127034
e3,0.7720807726075505,,0.7633714880332987,0.8467708761826409,,0.8188707843880257
e4,0.905375,,0.768921634293369,0.8754179386538741,,0.8271621264215816
e5,0.8751431844215349,,0.8070541584055098,0.8914244034594144,,0.8813426243988615
e6,0.5914835164835165,,0.8600411643634225,0.6133692458374143,,0.532563248529516
e7,0.7952567002536157,,0.8965955284552846,0.8427705627705627,,0.7229318283083321
e8,0.8598542944785276,,0.7994741212288956,0.8598354763996486,,0.78105141536684
e9,0.5265097000748373,,0.7040238918579064,0.8661075553593761,,0.7390458254865034
f1,0.5209390862944162,,0.801201802704056,0.7432155074116306,,0.6008411044066557
f10,0.7513974698440717,,0.6430322233514677,0.9129991503823279,,0.858405682715075
f2,0.649861295380533,,0.8905507654407883,0.8668541184254053,,0.6943784639746635
f3,0.6928996660374619,,0.8974802846701289,0.8833784698713608,,0.8280841911199877
f4,0.9244366986181999,,0.801984075186007,0.9455036994877632,,0.88561706582908
f5,0.7661245092540662,,0.8615455914725988,0.7881124341206325,,0.8056062819576333
f6,0.6684931506849315,,0.9496581196581196,0.793361383824217,,0.6479572355861015
f7,0.7761126248864668,,0.8954618439956055,0.8075903923412258,,0.66935883811548
f8,0.8493003229278795,,0.8261913986826811,0.8341725411211816,,0.7226536981926399
f9,0.7138746619094205,,0.8309105972734805,0.7526561186272261,,0.6246511037807663
g1,0.606300539083558,,0.8614083105250062,0.7967094883930583,,0.6594081518704634
g2,0.6520785219399539,,0.8406518010291595,0.8168193172356369,,0.6273885350318471
g3,0.7305273963813679,,0.6406052963430012,0.844639341328083,,0.7983646770237122
g4,0.9179123069257599,,0.7130685377772209,0.905415951303262,,0.8279554741440045
g5,0.7821410278299471,,0.8607731237213309,0.669831223628692,,0.7474827960883738
g6,0.743666273339349,,0.8516861973342875,0.7439957302971002,,0.6206589492430988
g7,0.8430777871384443,,0.8752538819367097,0.8965420298003935,,0.7828168149739184
g8,0.69304933838359,,0.8864977205685171,0.6625645788587682,,0.5805599308978202
