,HT29-dapi,HT29-pi,Hs766T-dapi,Hs766T-pi,both-dapi,both-pi
a1,0.46272624738170687,0.6489454001495887,,,0.4658144905741447,0.6852097968483007
a6,0.7698405528705,0.8765181452343835,,,0.9078128974080325,0.9475203863787491
a7,0.8025274239562824,0.8478388210630164,,,0.8257419151396237,0.8740367312737812
b2,0.661182863736182,0.7175275413945511,,,0.6403059650854358,0.6737130127366943
b6,0.7551289373105479,0.5382044159879479,,,0.5831086120833094,0.924022346368715
c1,0.8656160648979321,0.5490463215258855,,,0.8102763997165131,0.6991170100516466
d5,0.8530495779336583,0.7446782330503261,,,0.6389258497641224,0.7380333951762523
d9,0.6454183266932271,0.49004896540830833,,,0.7247621257832444,0.6030022357074417
e7,0.787895991824685,0.8909890794417084,,,0.8822148484232861,0.7117646173073737
f10,0.8106956101419344,0.719394126375483,,,0.8746754990600663,0.7923437591007048
f6,0.7939177748176913,0.9250177466788359,,,0.6974605376131034,0.6508081986335611
h10,0.6576863545615649,0.7083419251415154,,,0.777748146567817,0.49735814380886745
h3,0.6762820512820513,0.6423261053224444,,,0.6627487426197245,0.5016310879642878
h6,0.7076294710127686,0.6133377681689672,,,0.8255423484888865,0.8004654133966053
a9,0.9206423303146298,0.7910600207992868,,,0.9223918882946543,0.8896319841255259
b7,0.9395699607058307,0.4482701812191104,,,0.7543599909663496,0.9634084167593623
c5,0.8443918700935584,0.8697746274082152,,,0.7773446201826687,0.737068562342157
e10,0.8430884184308842,0.7395752046650871,,,0.7877996874272604,0.8766946417043253
e2,0.5208996519203879,0.632740057130301,,,0.873769747135719,0.5532176694967392
e5,0.901067091868024,0.9021219029486184,,,0.8481491975992376,0.6781235809843166
f2,0.7015297854411098,0.7645815283313118,,,0.8991696846568324,0.704697771364438
f3,0.7149663942444227,0.7008817803565294,,,0.8617436305732484,0.5042796358598852
f5,0.8048127755719833,0.8329578458782335,,,0.5929989053353005,0.7200155683470922
f7,0.62122508272133,0.8147518485897463,,,0.8691565273076571,0.8793939621790293
