,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
a1,0.6141244493392071,,0.5127739773837777,0.4422670081282708,,0.47589355305645253
a2,0.491500093405567,,0.4365776200261536,0.5951599173051197,,0.6194819408974827
a4,0.779385171790235,,0.761397704951928,0.9196926322133494,,0.9196926322133494
a5,0.7660648417782955,,0.6771500679479713,0.7915675675675675,,0.8227027027027027
a6,0.733441630362549,,0.6124935390976889,0.8621082621082621,,0.8498509687034277
a7,0.8127275009413832,,0.8009430996541967,0.9084428956122287,,0.9084428956122287
a8,0.8458177637252083,,0.810443706610323,0.8336266413970489,,0.8139488935721813
a9,0.7673898456721091,,0.7702211451075431,0.9336156800945533,,0.9336156800945533
b1,0.7616405307599518,,0.7466310408921933,0.47137972868644534,,0.47137972868644534
b2,0.86842508817666,,0.8234732824427481,0.8555308328035601,,0.8647040400876919
b4,0.6326631672774091,,0.6488317298252504,0.9352883675464321,,0.9352883675464321
b5,0.7319148936170212,,0.6511703511053316,0.7971150243536905,,0.829028061698569
b6,0.8702537683648158,,0.7601704765594731,0.9034155168513911,,0.8799294998898436
b7,0.9404315196998124,,0.8998576174655909,0.8954652532391049,,0.861361108302154
b8,0.4202621518296013,,0.43299610894941637,0.43051724137931036,,0.3724361281036344
b9,0.8828598787105011,,0.8911296933923594,0.8792033953640223,,0.8984073763621123
c1,0.756519732287099,,0.7513698630136987,0.8789694427801078,,0.8789694427801078
c2,0.46081041112097015,,0.32602386326991295,0.7348111658456487,,0.7578659370725034
c4,0.6197668256491786,,0.002486187845303867,0.7519215478399152,,0.692363813229572
c5,0.3896011396011396,,0.17435008665511265,0.8073005093378608,,0.8105263157894737
c6,0.5986894360603654,,0.2732827644332069,0.4172421474715972,,0.607733619763695
d1,0.7184317718940937,,0.6810228802153432,0.7432239657631954,,0.746380846325167
d2,0.8272727272727273,,0.7740503206709423,0.8428040361125863,,0.8415412094922174
d3,0.8245125348189415,,0.7592300410224045,0.8692225008957363,,0.8623949579831933
d4,0.9307980049875312,,0.008111615833874108,0.9026808666911494,,0.8657066309444073
d5,0.8445,,0.8572139303482587,0.8874204601076848,,0.8874204601076848
d6,0.7821586988664366,,0.7200598802395209,0.8328690807799443,,0.8517699115044248
d7,0.7880556802873822,,0.7808899932234018,0.7836527360886631,,0.7836527360886631
d9,0.26,,0.00036927621861152144,0.41671984684109764,,0.5466360856269113
e1,0.7607720803275493,,0.806592039800995,0.8543335761107065,,0.8731001206272617
e10,0.5326167348750062,,0.7531499248641775,0.40518407747632273,,0.9308643971860596
e2,0.4813009571074087,,0.8260214333556597,0.6370257966616085,,0.8175588865096359
e3,0.7953378111418412,,0.7582371458551941,0.8211087420042644,,0.8325630252100841
e4,0.8787443086508507,,0.8561151079136691,0.8822729333534834,,0.8822729333534834
e5,0.898958971218616,,0.8958076448828607,0.8841763535448738,,0.8841763535448738
e6,0.7234096263884214,,0.8769246150769846,0.7194141298104537,,0.6762350400431927
e7,0.9052924791086351,,0.8868309260832625,0.9587463702813658,,0.9587463702813658
e8,0.8722033898305085,,0.8648630136986302,0.9054018675277075,,0.9040870992828135
e9,0.6974978697033077,,0.7090822331795769,0.9675820945662216,,0.9675820945662216
f1,0.801201802704056,,0.8302197802197803,0.8613806487385639,,0.7986663246986406
f10,0.6539403716317141,,0.633269529848068,0.8936497871183984,,0.8936497871183984
f2,0.825845298749421,,0.8464348102270922,0.882670262980445,,0.882670262980445
f3,0.8411148588673886,,0.9034779210629152,0.8859882791688866,,0.8904828551434569
f4,0.9096086271658791,,0.9277471149021576,0.9472018414616602,,0.9472018414616602
f5,0.8618953819216458,,0.8691744340878829,0.7805093046033301,,0.7805093046033301
f6,0.8915605095541401,,0.9534843655784305,0.8680306905370844,,0.8444886787758149
f7,0.6389891696750902,,0.9390912812116251,0.6860858066411989,,0.906351947802725
f8,0.8985646641018052,,0.897540365172778,0.9242832403309602,,0.9242611422598118
f9,0.83288630606467,,0.8269741333535614,0.9090062401043122,,0.9090062401043122
g1,0.7979683972911964,,0.8642568250758341,0.8752510040160643,,0.85
g2,0.8619890782723812,,0.8619890782723812,0.9273842500989316,,0.9273842500989316
g3,0.7099046829672607,,0.6183656276326874,0.8576082790341127,,0.8564504101416853
g4,0.9374462332554996,,0.9331409331409332,0.914322664080181,,0.914322664080181
g5,0.6605757378000146,,0.8957775489186406,0.7329985652797705,,0.8074078964743167
g6,0.8383889450623525,,0.8489461358313818,0.8316093097274716,,0.7999234889058914
g7,0.9273895269612614,,0.908025661167845,0.9086052144180082,,0.9362766740250184
g8,0.8697859759624654,,0.8978457738748628,0.881790389590029,,0.881790389590029
g9,0.8623310193642675,,0.8745489443378119,0.814402319017469,,0.8541116182240371
h1,0.39641744548286606,,0.47564216120460584,0.6494755244755245,,0.6836280005749604
h10,0.8767746913580247,,0.5492208690102643,0.6393859596624574,,0.4585912716745203
h2,0.6849276974416018,,0.6099741704748659,0.8649224216610891,,0.7257861635220125
h3,0.49410377358490565,,0.38650225404402017,0.8282138794084186,,0.8090492862914086
h4,0.8284715046498689,,0.1935626102292769,0.8205810147299509,,0.7211695524338452
h5,0.9128135130523801,,0.00018034265103697024,0.9004068636122413,,0.7948950309620904
h6,0.798022061620388,,0.8329674715625623,0.8482160457323082,,0.8347235693501455
h7,0.9012382965871338,,0.855,0.896888346552776,,0.896888346552776
h9,0.1777262180974478,,0.0002720348204570185,0.3137313432835821,,0.3601151531012824
a10_p,,0.0,0.01791958041958042,,0.8962779899648019,0.3159538683325324
a8_p,,0.0,0.012216404886561954,,0.6683099109704952,0.0726963906581741
a9_p,,0.0,0.0,,0.8798808469527414,0.8798808469527414
b10_p,,0.0,0.0013351134846461949,,0.8799274676758121,0.7341923372301391
b11_p,,0.0,0.0,,0.8641073006184242,0.8615976428220659
b8_p,,0.0,0.0,,0.8757088846880907,0.8689800046681708
b9_p,,0.0,0.0,,0.8561455800454938,0.8561455800454938
c10_p,,0.0,0.004134479382004135,,0.8864546525323911,0.5040783034257749
c11_p,,0.0,0.0,,0.8708903287736981,0.8659267660401815
c8_p,,0.0,0.0,,0.871397413927403,0.8730968390138342
c9_p,,0.0,0.007575757575757576,,0.8375747355511268,0.8402980488554309
d10_p,,0.0,0.0,,0.8872739018087855,0.8877835256665341
