,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
a1,0.6835506483260775,,0.6835506483260775,0.7536893410116898,,0.7536893410116898
a2,0.6844632662598159,,0.6844632662598159,0.7577399264900408,,0.7577399264900408
a4,0.7633542222049076,,0.7633542222049076,0.6249247275672867,,0.6249247275672867
a5,0.8845185197512578,,0.8845185197512578,0.8323846512527152,,0.8323846512527152
a6,0.894958559951091,,0.894958559951091,0.867005294494164,,0.867005294494164
a7,0.8271495192899441,,0.8271495192899441,0.8583152702168848,,0.8583152702168848
a8,0.7787591430134782,,0.7892237047338414,0.8843662311407624,,0.8843662311407624
a9,0.8113969939749529,,0.824097817359964,0.8794271373047801,,0.8794271373047801
b1,0.7960490671695803,,0.7960490671695803,0.7166287529149874,,0.7166287529149874
b2,0.8052269743303456,,0.8052315663891192,0.7791567132432344,,0.7791567132432344
b4,0.7082568969037187,,0.7082568969037187,0.5970102983652669,,0.5970102983652669
b5,0.6201761882847939,,0.6411819989155974,0.6430267705005069,,0.6430267705005069
b6,0.7931615212581979,,0.7931615212581979,0.8925214140210554,,0.8925214140210554
b7,0.7694961404053507,,0.7694961404053507,0.8068182913468551,,0.8068182913468551
b8,0.42215148465022645,,0.4269175071576888,0.41041764504548967,,0.41041764504548967
b9,0.835127971797313,,0.8212690654756889,0.8117639343033551,,0.8117639343033551
c1,0.7659320187001301,,0.7659320187001301,0.8921771313071648,,0.8921771313071648
c2,0.3923377631003064,,0.2971771064672357,0.6224715157637029,,0.6224715157637029
c4,0.8045263857011946,,0.8045263857011946,0.8615378595569642,,0.8615378595569642
c5,0.713722236251909,,0.713722236251909,0.8044531789301663,,0.8044531789301663
c6,0.6891311395688118,,0.6921771341338145,0.6747368734905632,,0.6747368734905632
d1,0.7180323238532758,,0.7180323238532758,0.7613932687500844,,0.7613932687500844
d2,0.6494127170689561,,0.6494127170689561,0.7198337024987886,,0.7198337024987886
d3,0.7265353245318511,,0.7263561763813069,0.8521786671683206,,0.8521786671683206
d4,0.6729418901498875,,0.6729368349215176,0.7872877371124509,,0.7872877371124509
d5,0.7179705641591072,,0.7168023576479499,0.7244651761299662,,0.7244651761299662
d6,0.7535303649972992,,0.7535303649972992,0.8388795972205458,,0.8388795972205458
d7,0.7964512049269346,,0.7964512049269346,0.8201908571270398,,0.8201908571270398
d9,0.34427907509011957,,0.34427907509011957,0.3595482161268608,,0.3595482161268608
e1,0.556538553869262,,0.556538553869262,0.5853504731727643,,0.5853504731727643
e10,0.7276354126938904,,0.7276354126938904,0.9170538782926415,,0.9170538782926415
e2,0.7093393613639527,,0.7093402312462991,0.5646543667503229,,0.5646543667503229
e3,0.5683300532508031,,0.5519950046586647,0.5521574285001091,,0.5521574285001091
e4,0.7957341918944291,,0.7957341918944291,0.6889891463555814,,0.6889891463555814
e5,0.8622074492834543,,0.8622074492834543,0.8593750914678765,,0.8593750914678765
e6,0.7917047536942612,,0.8110073124189875,0.6966552462154671,,0.6966552462154671
e7,0.8826535507486244,,0.8826535507486244,0.758578609160188,,0.758578609160188
e8,0.8758574320692871,,0.8758630139314347,0.8235769536134182,,0.8235769536134182
e9,0.6687224800734551,,0.6687224800734551,0.8625023918456111,,0.8625023918456111
f1,0.4611269040394586,,0.4611269040394586,0.47473653107455926,,0.47473653107455926
f10,0.7119526457759359,,0.7119483907920932,0.8976269831548682,,0.8976269831548682
f2,0.6171552644616422,,0.6171663026934021,0.6045800977854472,,0.6045800977854472
f3,0.5561089242657525,,0.5561089242657525,0.6326834512515799,,0.6326834512515799
f4,0.8121211717864802,,0.8121211717864802,0.7282659348625279,,0.7282659348625279
f5,0.8061541793653986,,0.8061541793653986,0.8119321155545641,,0.8119321155545641
f6,0.9361387329171764,,0.9361387329171764,0.8540096234633195,,0.8540096234633195
f7,0.9434504131444794,,0.9446305973972743,0.7896038050612125,,0.7896038050612125
f8,0.9013400732210919,,0.9013400732210919,0.7745767114840226,,0.7745767114840226
f9,0.8302273206341458,,0.8302273206341458,0.7509115261995947,,0.7509115261995947
g1,0.47234382832938576,,0.47234382832938576,0.46208613352509426,,0.46208613352509426
g2,0.6793115243368404,,0.6793128010630121,0.600627259094971,,0.600627259094971
g3,0.665872280540883,,0.6658675046723913,0.5337506072079605,,0.5337506072079605
g4,0.812536278593946,,0.8130264572336227,0.6078835291532566,,0.6078835291532566
g5,0.8699094145322995,,0.8699094145322995,0.7213456086227777,,0.7213456086227777
g6,0.8282403961211025,,0.8282403961211025,0.7210243695384139,,0.7210243695384139
g7,0.8877048710953318,,0.8877048710953318,0.939856882646762,,0.939856882646762
g8,0.8897032016439083,,0.8903012446888068,0.7936881545340181,,0.7936881545340181
g9,0.8887134137221581,,0.8654588124631457,0.8124300637972757,,0.8124300637972757
h1,0.057988598089688155,,0.057988598089688155,0.625625931109205,,0.625625931109205
h10,0.6201451991890669,,0.6201451991890669,0.6467306209195126,,0.6467306209195126
h2,0.6618810609667477,,0.6564321064743468,0.40887241909282196,,0.40887241909282196
h3,0.6686274145961292,,0.6686212556491051,0.4033555441385829,,0.4033555441385829
h4,0.7150490733588648,,0.7150473381650536,0.5331668552692664,,0.5331668552692664
h5,0.8531558318691715,,0.8531558318691715,0.8842822564754115,,0.8842822564754115
h6,0.8499194858494599,,0.8499194858494599,0.866407932919122,,0.866407932919122
h7,0.8120186646037714,,0.8268461603233412,0.8170873230255653,,0.8170873230255653
h9,0.12706738071338103,,0.1979974811702719,0.19038421429672553,,0.19038421429672553
a10_p,,0.015270581903525893,0.015270581903525893,,0.7125711680441661,0.7125711680441661
a8_p,,0.03757666639647672,0.03757666639647672,,0.6800473294210696,0.6800473294210696
a9_p,,0.04894071424065747,0.04894071424065747,,0.7133437045079499,0.7133437045079499
b10_p,,0.0033561073585145996,0.0033561073585145996,,0.7136896509773356,0.7136896509773356
b11_p,,0.028704097381010568,0.028704097381010568,,0.7833083020668417,0.7833083020668417
b8_p,,0.032905720472270895,0.032905720472270895,,0.7099835836405981,0.7099835836405981
b9_p,,0.010607370743634086,0.010607370743634086,,0.6936073587611281,0.6936073587611281
c10_p,,0.004052043260506641,0.004052043260506641,,0.726371918656812,0.726371918656812
c11_p,,0.006387272943131901,0.006387272943131901,,0.746796604010439,0.746796604010439
c8_p,,0.007632914267692649,0.007632914267692649,,0.6648175915926648,0.6648175915926648
c9_p,,0.0112251732622585,0.0112251732622585,,0.7058234431482677,0.7058234431482677
d10_p,,0.005740862538757869,0.005740862538757869,,0.7056699793943245,0.7056699793943245
d11_p,,0.011718381590116005,0.011718381590116005,,0.6932530689070465,0.6932530689070465
d8_p,,0.06588497861445435,0.06588497861445435,,0.6984993886398162,0.6984993886398162
d9_p,,0.008442913631560533,0.008442913631560533,,0.7010535166874515,0.7010535166874515
e10_p,,0.002261751604025422,0.002261751604025422,,0.6933019442270136,0.6933019442270136
e11_p,,0.1339986190777316,0.1339986190777316,,0.7062272454064996,0.7062272454064996
e8_p,,0.006994688846577814,0.006994688846577814,,0.6771110298786002,0.6771110298786002
e9_p,,0.0015479542774687852,0.0015479542774687852,,0.6570376994651567,0.6570376994651567
f10_p,,0.0003758982037791461,0.0003758982037791461,,0.5601425892953659,0.5601425892953659
f11_p,,0.011332748479139402,0.011332748479139402,,0.7128758008183559,0.7128758008183559
f8_p,,0.03392520528034794,0.03392520528034794,,0.6848892621058815,0.6848892621058815
f9_p,,0.03948738021716754,0.03948738021716754,,0.6565077881226392,0.6565077881226392
g10_p,,0.007669496169818903,0.007669496169818903,,0.6674149627713737,0.6674149627713737
g11_p,,0.0046414462884315985,0.0046414462884315985,,0.7492448652855801,0.7492448652855801
g8_p,,0.019110776598316864,0.019110776598316864,,0.6853606005161822,0.6853606005161822
g9_p,,0.004501982670847632,0.004501982670847632,,0.6646343007113984,0.6646343007113984
h10_p,,0.0012973801766206195,0.0012973801766206195,,0.7283708625461658,0.7283708625461658
h11_p,,0.0034463721974776628,0.0034463721974776628,,0.7270778133454823,0.7270778133454823
h8_p,,0.009269385765742206,0.009269385765742206,,0.664445672921469,0.664445672921469
h9_p,,0.002475383558506984,0.002475383558506984,,0.6966669899460124,0.6966669899460124
