,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
a1,0.6806962057191205,,0.6584051475296266,0.6418246231025834,,0.5740614902439363
a2,0.5449357685156266,,0.5367315291004827,0.7082835206291013,,0.6979825239436406
a4,0.7722746630584654,,0.7576127010925148,0.834103539405187,,0.8638844982867812
a5,0.8763200908501168,,0.8963563994909253,0.9150733162526601,,0.894370004097205
a6,0.9241295547489121,,0.9241295547489121,0.8329458548879818,,0.8329458548879818
a7,0.8613890457580596,,0.8521599381390947,0.759234225930796,,0.8074520089577469
a8,0.8536312626914309,,0.8499994025784713,0.7323205476044607,,0.7931724157921619
a9,0.7910447934967755,,0.7958975961219833,0.9054202252192234,,0.9131461783608961
b1,0.7304650609698372,,0.7304650609698372,0.5457610212077482,,0.5457610212077482
b2,0.8621280594514721,,0.87869749532923,0.8523261744205815,,0.8767249353780887
b4,0.6054938632378726,,0.6311774471349154,0.8079375113570344,,0.7619701452199051
b5,0.732156633987543,,0.7110648490329085,0.8255094604861258,,0.7626770597602883
b6,0.9007027285676132,,0.8951419096903339,0.7560732273488673,,0.7434098135880879
b7,0.9493117841098391,,0.9522746974026391,0.8799057982454489,,0.8988351087950401
b8,0.9043006059240694,,0.8545623428645431,0.7759866380338821,,0.7362298227488024
b9,0.870603774046399,,0.8793675230932311,0.849332577714646,,0.875340504516832
c1,0.7715019591421649,,0.7728051971487865,0.8634283839665725,,0.8684848300258018
c2,0.46467392476946245,,0.33943400603108326,0.8696341707771473,,0.8183679575959648
c4,0.8276996819460493,,0.8032889992117136,0.8220779042843246,,0.8558415205617437
c5,0.8127712078584712,,0.8378635127593127,0.8349675707743686,,0.8339028230574738
c6,0.08866960147986774,,0.07707122068933513,0.06309527587653876,,0.05831357625276629
d1,0.6932963430373276,,0.730822757937444,0.7034081984050266,,0.7579905985531703
d2,0.7689783391827332,,0.8035008081433337,0.827693585219016,,0.8463644685989338
d3,0.8538134476097345,,0.8471413708838402,0.8590168743877076,,0.8696181900766826
d4,0.7994054067672772,,0.7994003678415762,0.8879115413753419,,0.8879115413753419
d5,0.8320032463140808,,0.8094442122858336,0.8617020447906524,,0.8272472021196662
d6,0.8305461699670673,,0.8303485201386127,0.8404822892826288,,0.8370151592779
d7,0.8340582925392241,,0.8398295866569978,0.8575892971497368,,0.8645753857723295
d9,0.30381084655352725,,0.28373844878521,0.3089602404700096,,0.28881711215846545
e1,0.6925633924039459,,0.7589500688350204,0.734544903661643,,0.8038484436259767
e10,0.7096713537887189,,0.7529473861428487,0.9421193755176687,,0.8867686063478296
e2,0.8360640241981221,,0.48846974375482693,0.7618495569702776,,0.3806931050035276
e3,0.7714821064627118,,0.7815890300463804,0.7882125228210156,,0.824324404461866
e4,0.9035474385188532,,0.6547469327680326,0.7946289153992693,,0.565035326389452
e5,0.9029069195337308,,0.8985738273193087,0.8980367450439438,,0.8936926261311487
e6,0.8349709947173033,,0.6312006926965543,0.7362721451571433,,0.5392428729311493
e7,0.9124549930748882,,0.8806890177457194,0.8101727797091259,,0.759438717598842
e8,0.8656590803609431,,0.8732024219107503,0.8436558937979328,,0.8210994006781333
e9,0.6676441234270662,,0.6555361385105806,0.8613544275842498,,0.8446761978821267
f1,0.5696361866752214,,0.5021879389567412,0.5951684409680061,,0.5200342095432829
f10,0.7227985056160785,,0.7365384471873554,0.8948803225640762,,0.8786468391752421
f2,0.39753737299056474,,0.8246167165686663,0.388603933311153,,0.8173049093407596
f3,0.5986372472707786,,0.7573426521284184,0.6815013079606574,,0.8517980133596372
f4,0.9015169190509876,,0.8254518000907324,0.8246578038138271,,0.7415838502450051
f5,0.7548626725487406,,0.7411983950934921,0.7872442856089205,,0.7807886186788371
f6,0.9538012821541044,,0.5915982759444178,0.8764648825067031,,0.5365414799406429
f7,0.9204868039048524,,0.8557636341062526,0.8359040013287014,,0.6895268692722479
f8,0.8992805589157201,,0.8968953643956726,0.7743353434539203,,0.758224757151769
f9,0.8338167258686738,,0.8397942016961651,0.767213330506182,,0.8016486622763458
g1,0.5838952656046863,,0.6722598161092086,0.5787453128549659,,0.6747321109655912
