,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
a1,0.60517548914684,,0.60517548914684,0.8041171551399303,,0.8041171551399303
a2,0.7952763296689629,,0.7952763296689629,0.6216182028611319,,0.6216182028611319
a4,0.6252443053524662,,0.6252443053524662,0.4207624633431085,,0.4207624633431085
a5,0.6087944896847252,,0.6087944896847252,0.5444547114520903,,0.5444547114520903
a6,0.7031203457581722,,0.7031203457581722,0.5463978942771966,,0.5463978942771966
a7,0.7645118693461235,,0.7645118693461235,0.5627977204906092,,0.5627977204906092
a8,0.7759328441886062,,0.7454185571988423,0.5858166123668106,,0.5858166123668106
a9,0.8053080887104197,,0.7936568680703007,0.594060940958721,,0.594060940958721
b1,0.6083672241952114,,0.6083672241952114,0.8328859909018022,,0.8328859909018022
b2,0.5397805452709525,,0.5397738135307977,0.5126256497179638,,0.5126256497179638
b4,0.7331742823163568,,0.7331742823163568,0.39125323475962126,,0.39125323475962126
b5,0.45710013768484836,,0.48281591669398993,0.42015144212694466,,0.42015144212694466
b6,0.8180478100480876,,0.8180478100480876,0.6612143220097414,,0.6612143220097414
b7,0.8925526420792337,,0.8925526420792337,0.8125780235068554,,0.8125780235068554
b8,0.8372876638383293,,0.8112924871494045,0.6968130449093963,,0.6968130449093963
b9,0.7621605497256698,,0.7485239313817196,0.7387907210629825,,0.7387907210629825
c1,0.7334425024001308,,0.7334425024001308,0.7781580750780477,,0.7781580750780477
c2,0.45496161077716535,,0.32303889524432094,0.9329938883105544,,0.9329938883105544
c4,0.790955913955766,,0.790955913955766,0.6654444931542584,,0.6654444931542584
c5,0.9112915855650268,,0.9112915855650268,0.781512461493785,,0.781512461493785
c6,0.09905231809807435,,0.09810709950092172,0.06508976721960544,,0.06508976721960544
d1,0.674241223142091,,0.674241223142091,0.679486482273052,,0.679486482273052
d2,0.8434042807918081,,0.8434042807918081,0.8549193333518911,,0.8549193333518911
d3,0.8410200250312891,,0.8408591096012873,0.7793235529624409,,0.7793235529624409
d4,0.9261800849890892,,0.9261752995673979,0.8160467660330918,,0.8160467660330918
d5,0.8119546122166863,,0.8302391463782913,0.8692057020629065,,0.8692057020629065
d6,0.8178075715992804,,0.8178075715992804,0.7594405594405594,,0.7594405594405594
d7,0.8492976928006836,,0.8492976928006836,0.8676719443746335,,0.8676719443746335
d9,0.39030838867972417,,0.39030838867972417,0.38899445557956114,,0.38899445557956114
e1,0.36937473854317693,,0.36937473854317693,0.37649516860099363,,0.37649516860099363
e10,0.8796467097863495,,0.8796467097863495,0.6822663637921219,,0.6822663637921219
e2,0.4667696375935533,,0.4667655942325499,0.36321095769191336,,0.36321095769191336
e3,0.3765824791018958,,0.36526239519718456,0.36442386009327804,,0.36442386009327804
e4,0.500094756559405,,0.500094756559405,0.43053192458424905,,0.43053192458424905
e5,0.5842815731200354,,0.5842815731200354,0.5628428639822274,,0.5628428639822274
e6,0.5104063070551738,,0.5233128367646841,0.44632175035995786,,0.44632175035995786
e7,0.6174209984641186,,0.6174209984641186,0.5195348344008129,,0.5195348344008129
e8,0.6855922697681005,,0.685595335605509,0.5187757948325038,,0.5187757948325038
e9,0.4256397118067105,,0.4256397118067105,0.547881674513934,,0.547881674513934
f1,0.31209066052466106,,0.31209066052466106,0.3054005528798199,,0.3054005528798199
f10,0.9063816719627084,,0.906374672788611,0.6295515533543449,,0.6295515533543449
f2,0.39753737299056474,,0.39754195116839086,0.388603933311153,,0.388603933311153
f3,0.36074892679101683,,0.36074892679101683,0.4102060231572949,,0.4102060231572949
f4,0.5221912352296519,,0.5221912352296519,0.4651223571078065,,0.4651223571078065
f5,0.5895550330243077,,0.5895550330243077,0.6929017750367308,,0.6929017750367308
f6,0.5915982759444178,,0.5915982759444178,0.5365414799406429,,0.5365414799406429
f7,0.6566363626234325,,0.6453665276427824,0.5178231073210423,,0.5178231073210423
f8,0.6669109560962277,,0.6669109560962277,0.5191256919503952,,0.5191256919503952
f9,0.6344097047192939,,0.6344097047192939,0.4931045285797083,,0.4931045285797083
g1,0.31500085318385374,,0.31500085318385374,0.30492728147485154,,0.30492728147485154
g2,0.4702212575989796,,0.4702218622024211,0.40690744763652836,,0.40690744763652836
g3,0.5001446602692227,,0.5001413474386298,0.3492735420446264,,0.3492735420446264
g4,0.5463355594272313,,0.546556846557062,0.4069190328019736,,0.4069190328019736
g5,0.6094521893520307,,0.6094521893520307,0.8202394347090555,,0.8202394347090555
g6,0.6274034567296788,,0.6274034567296788,0.48158688414816897,,0.48158688414816897
g7,0.7089186016922426,,0.7089186016922426,0.5928047425133378,,0.5928047425133378
g8,0.6684077899847104,,0.6526220856486511,0.550728393992021,,0.550728393992021
g9,0.5758501100666439,,0.5568938626436426,0.5157733183758328,,0.5157733183758328
h1,0.04865878851471815,,0.04865878851471815,0.5270138374841806,,0.5270138374841806
h10,0.8867485486830364,,0.8867485486830364,0.7970672728635307,,0.7970672728635307
h2,0.7266866298838345,,0.7037027032137638,0.2808394877547418,,0.2808394877547418
h3,0.6085503603366141,,0.6085285022725958,0.2686738012609699,,0.2686738012609699
h4,0.828087715466686,,0.8280842488175838,0.34551789320229204,,0.34551789320229204
h5,0.7684581646716189,,0.7684581646716189,0.7307493932038835,,0.7307493932038835
h6,0.7158016342780705,,0.7158016342780705,0.7306972669844202,,0.7306972669844202
h7,0.8229527745225025,,0.7402573877530856,0.8089439017924509,,0.8089439017924509
h9,0.0,,0.0,0.0,,0.0
a10_p,,0.013760355604178902,0.013760355604178902,,0.898589801495513,0.898589801495513
a8_p,,0.030848607382364963,0.030848607382364963,,0.8200073252257236,0.8200073252257236
a9_p,,0.04949788253284456,0.04949788253284456,,0.8920971052096366,0.8920971052096366
b10_p,,0.002392213967959125,0.002392213967959125,,0.8836037675445247,0.8836037675445247
b11_p,,0.0216416733710621,0.0216416733710621,,0.8245669443260892,0.8245669443260892
b8_p,,0.02529060519296185,0.02529060519296185,,0.8748955399046714,0.8748955399046714
b9_p,,0.007289751516113214,0.007289751516113214,,0.8555381080364647,0.8555381080364647
c10_p,,0.0027338912425391554,0.0027338912425391554,,0.8783723008172852,0.8783723008172852
c11_p,,0.004556760785763384,0.004556760785763384,,0.8651305918626212,0.8651305918626212
c8_p,,0.0065614631342840795,0.0065614631342840795,,0.9011682399614852,0.9011682399614852
c9_p,,0.008743724585862802,0.008743724585862802,,0.8411631191076503,0.8411631191076503
d10_p,,0.0038034420535140606,0.0038034420535140606,,0.8835513401901767,0.8835513401901767
d11_p,,0.009430724843986325,0.009430724843986325,,0.7704553236835265,0.7704553236835265
d8_p,,0.06331773898445209,0.06331773898445209,,0.8921354282326062,0.8921354282326062
d9_p,,0.006222137101612472,0.006222137101612472,,0.8601422726363216,0.8601422726363216
e10_p,,0.0026923360625507116,0.0026923360625507116,,0.8691544144233294,0.8691544144233294
e11_p,,0.11201524935620462,0.11201524935620462,,0.6672935393323806,0.6672935393323806
e8_p,,0.006376873878201077,0.006376873878201077,,0.797816748005738,0.797816748005738
e9_p,,0.00036845983787767134,0.00036845983787767134,,0.07497110517715516,0.07497110517715516
f10_p,,0.0,0.0,,0.0,0.0
f11_p,,0.008474919485623627,0.008474919485623627,,0.8430088733067949,0.8430088733067949
f8_p,,0.03504348680025106,0.03504348680025106,,0.8794687154480765,0.8794687154480765
f9_p,,0.03303936578064164,0.03303936578064164,,0.8557573835287229,0.8557573835287229
g10_p,,0.007085843875758721,0.007085843875758721,,0.8679839776385735,0.8679839776385735
g11_p,,0.004527212357441894,0.004527212357441894,,0.9077101214941973,0.9077101214941973
g8_p,,0.016990431106301145,0.016990431106301145,,0.8568274897911022,0.8568274897911022
g9_p,,0.004811554221266583,0.004811554221266583,,0.8417236667478148,0.8417236667478148
h10_p,,0.0014966859097712208,0.0014966859097712208,,0.9322405170343611,0.9322405170343611
h11_p,,0.002636592970677779,0.002636592970677779,,0.900316722817989,0.900316722817989
h8_p,,0.007065734513845211,0.007065734513845211,,0.8992792203285644,0.8992792203285644
h9_p,,0.0019265822397029114,0.0019265822397029114,,0.8400661044874131,0.8400661044874131
