Contrast,Model,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Model,-,Decision Tree Regressor,UNet,False,True,4.925725627110897,519.6436334453364,two-sided,1.1313017062892407e-06,,,1.022e+04,0.3809569598715607
dye,-,HT29-dapi,HT29-pi,False,True,1.5713682900674721,266.0,two-sided,0.11728582637849191,1.0,bonf,0.432,0.1914314038845345
dye,-,HT29-dapi,Hs766T-dapi,False,True,-3.797871868939861,176.46557515148956,two-sided,0.00020057920964272364,0.0030086881446408547,bonf,113.791,-0.42376152608499545
dye,-,HT29-dapi,Hs766T-pi,False,True,13.27787301707458,136.62968507163376,two-sided,2.337571019857233e-26,3.50635652978585e-25,bonf,4.47e+25,1.9224050826007235
dye,-,HT29-dapi,both-dapi,False,True,-1.8569695847967578,250.6483296805981,two-sided,0.0644885697269736,0.967328545904604,bonf,0.682,-0.22541669754859608
dye,-,HT29-dapi,both-pi,False,True,10.033918738321312,284.18514636988454,two-sided,1.7669217955301507e-20,2.650382693295226e-19,bonf,4.842e+17,0.9849909634551508
dye,-,HT29-pi,Hs766T-dapi,False,True,-6.311333140648355,183.8341797967651,two-sided,2.0160767450970608e-09,3.024115117645591e-08,bonf,4.998e+06,-0.7164047534122999
dye,-,HT29-pi,Hs766T-pi,False,True,12.512108725758374,121.8930080878275,two-sided,1.3035336922526e-23,1.9553005383789e-22,bonf,2.376e+23,1.894830590506138
dye,-,HT29-pi,both-dapi,False,True,-3.7945285498758206,263.2294662897863,two-sided,0.00018359340426278348,0.002753901063941752,bonf,109.936,-0.45981347307877096
dye,-,HT29-pi,both-pi,False,True,9.283908499865648,268.5489294293342,two-sided,5.720037882076357e-18,8.580056823114536e-17,bonf,1.888e+15,0.9010560768753476
dye,-,Hs766T-dapi,Hs766T-pi,False,True,19.052240235858704,122.0,two-sided,2.2802739391336232e-38,3.420410908700435e-37,bonf,6.121e+34,3.4008039982227283
dye,-,Hs766T-dapi,both-dapi,False,True,2.061488588588012,195.62347080173538,two-sided,0.04057876911060219,0.6086815366590328,bonf,1.172,0.23582121062105255
dye,-,Hs766T-dapi,both-pi,False,True,13.119368923159401,214.82242007554703,two-sided,2.8732020176501553e-29,4.309803026475233e-28,bonf,1.001e+27,1.0964348813047526
dye,-,Hs766T-pi,both-dapi,False,True,-16.07092226102859,107.27247705799239,two-sided,2.5153527070976205e-30,3.773029060646431e-29,bonf,1.589e+34,-2.546742057914942
dye,-,Hs766T-pi,both-pi,False,True,0.1516235451349198,250.44688948711774,two-sided,0.8796059261221666,1.0,bonf,0.16,0.01449971369179988
dye,-,both-dapi,both-pi,False,True,11.639112529641446,252.39918147216497,two-sided,2.3845477947075267e-25,3.5768216920612904e-24,bonf,1.623e+23,1.1216120792386166
Model * dye,Decision Tree Regressor,HT29-dapi,HT29-pi,False,True,1.2124722822698761,132.0,two-sided,0.22749724597737883,1.0,bonf,0.361,0.2082907997304936
Model * dye,Decision Tree Regressor,HT29-dapi,Hs766T-dapi,False,True,-1.1579763265873444,89.06244024858296,two-sided,0.24996958148930856,1.0,bonf,0.407,-0.1830336916936031
Model * dye,Decision Tree Regressor,HT29-dapi,Hs766T-pi,False,True,11.444195924198754,75.53633161650362,two-sided,3.638123592680059e-18,1.0914370778040177e-16,bonf,2.512e+16,2.2302587119995283
Model * dye,Decision Tree Regressor,HT29-dapi,both-dapi,False,True,-0.45556836341367046,122.26331448534211,two-sided,0.6495084503415245,1.0,bonf,0.188,-0.07469909114116102
Model * dye,Decision Tree Regressor,HT29-dapi,both-pi,False,True,4.908348786300077,155.31073996128293,two-sided,2.3013980072444285e-06,6.904194021733286e-05,bonf,6732.044,0.7513555953920288
Model * dye,Decision Tree Regressor,HT29-pi,Hs766T-dapi,False,True,-2.9934729732189234,94.08615735545911,two-sided,0.003523407899575226,0.10570223698725678,bonf,10.39,-0.48761082677929685
Model * dye,Decision Tree Regressor,HT29-pi,Hs766T-pi,False,True,11.208267938069891,63.501580541121584,two-sided,1.0851893532678869e-16,3.255568059803661e-15,bonf,8.224e+15,2.3374642380939608
Model * dye,Decision Tree Regressor,HT29-pi,both-dapi,False,True,-1.9898642534097948,140.330175248585,two-sided,0.04854921707173109,1.0,bonf,1.05,-0.31500702046235596
Model * dye,Decision Tree Regressor,HT29-pi,both-pi,False,True,4.127778076417564,162.8359506282121,two-sided,5.834775490882255e-05,0.0017504326472646764,bonf,341.195,0.611114211856461
Model * dye,Decision Tree Regressor,Hs766T-dapi,Hs766T-pi,False,True,15.21197206068977,60.0,two-sided,2.9443335275436144e-22,8.833000582630843e-21,bonf,8.193e+18,3.8153446237397852
Model * dye,Decision Tree Regressor,Hs766T-dapi,both-dapi,False,True,0.8896536830924704,120.96644914563714,two-sided,0.3754177258533852,1.0,bonf,0.307,0.12206532153562226
Model * dye,Decision Tree Regressor,Hs766T-dapi,both-pi,False,True,7.515556656054868,125.62268006566171,two-sided,9.32642993194878e-12,2.797928979584634e-10,bonf,7.03e+08,0.9495768644441499
Model * dye,Decision Tree Regressor,Hs766T-pi,both-dapi,False,True,-13.585018796700222,53.685811095426864,two-sided,5.208816602344555e-19,1.5626449807033664e-17,bonf,1.248e+23,-2.6806186494411897
Model * dye,Decision Tree Regressor,Hs766T-pi,both-pi,False,True,-6.957215872512304,78.93404994636721,two-sided,9.051349556771606e-10,2.7154048670314817e-08,bonf,4.476e+07,-1.144495332683963
Model * dye,Decision Tree Regressor,both-dapi,both-pi,False,True,6.2540208504160315,194.0,two-sided,2.4979646877662094e-09,7.493894063298628e-08,bonf,3.802e+06,0.8899731053495255
Model * dye,UNet,HT29-dapi,HT29-pi,False,True,0.9970529106542504,132.0,two-sided,0.3205630702834195,1.0,bonf,0.291,0.17128387277026816
Model * dye,UNet,HT29-dapi,Hs766T-dapi,False,True,-4.739793041174989,78.60619588790095,two-sided,9.361645327245535e-06,0.000280849359817366,bonf,2223.86,-0.7202857539426674
Model * dye,UNet,HT29-dapi,Hs766T-pi,False,True,8.177494635322047,70.07725838989896,two-sided,8.542574593947229e-12,2.562772378184169e-10,bonf,4.751e+09,1.6411476156976161
Model * dye,UNet,HT29-dapi,both-dapi,False,True,-3.3260770090075513,93.35674860414596,two-sided,0.0012604442866047856,0.03781332859814357,bonf,24.925,-0.5455391204136724
Model * dye,UNet,HT29-dapi,both-pi,False,True,9.816650740278076,127.15859582848091,two-sided,2.828615310780749e-17,8.485845932342246e-16,bonf,1.091e+15,1.331963447323895
Model * dye,UNet,HT29-pi,Hs766T-dapi,False,True,-6.260931837613126,79.44445404049546,two-sided,1.8278525204359482e-08,5.483557561307845e-07,bonf,8.923e+05,-0.9540734320086005
Model * dye,UNet,HT29-pi,Hs766T-pi,False,True,7.402099945770045,67.73558993530742,two-sided,2.7180675938655356e-10,8.154202781596606e-09,bonf,1.345e+08,1.5052679029341682
Model * dye,UNet,HT29-pi,both-dapi,False,True,-4.698545286564445,94.78219885706157,two-sided,8.857918026648117e-06,0.0002657375407994435,bonf,2105.153,-0.7741105286614933
Model * dye,UNet,HT29-pi,both-pi,False,True,9.338185388609565,125.26755336932867,two-sided,4.66633677234548e-16,1.3999010317036439e-14,bonf,6.203e+13,1.2638255833645629
Model * dye,UNet,Hs766T-dapi,Hs766T-pi,False,True,14.223488860729093,60.0,two-sided,7.008253044943697e-21,2.102475913483109e-19,bonf,3.776e+17,3.5674212087097903
Model * dye,UNet,Hs766T-dapi,both-dapi,False,True,2.1137329800620206,63.80938881810387,two-sided,0.038452933579320656,1.0,bonf,1.618,0.4683107206799037
Model * dye,UNet,Hs766T-dapi,both-pi,False,True,12.547630545934876,100.34231227819073,two-sided,2.7904711601551e-22,8.3714134804653e-21,bonf,4.277e+20,1.453116849632254
Model * dye,UNet,Hs766T-pi,both-dapi,False,True,-12.63935094788947,40.257145839395626,two-sided,1.3469952284430279e-15,4.040985685329084e-14,bonf,2.382e+16,-3.248021314527712
Model * dye,UNet,Hs766T-pi,both-pi,False,True,4.78103858052752,125.98870715601427,two-sided,4.779527069013197e-06,0.00014338581207039592,bonf,3299.873,0.6062022039557871
Model * dye,UNet,both-dapi,both-pi,False,True,11.89067222647643,104.92473454132264,two-sided,3.672874453153575e-21,1.1018623359460724e-19,bonf,3.163e+19,1.4390521465515536
