,HT29-dapi,HT29-pi,Hs766T-dapi,Hs766T-pi,both-dapi,both-pi
a1,0.918331265449524,0.8462508320808411,,,0.945978581905365,0.6784698888601706
a6,0.9291681051254272,0.8942720293998718,,,0.9437068104743958,0.9050134985176476
a7,0.934325397014618,0.8975201845169067,,,0.9925529956817628,0.8066116216510395
b2,0.8826987147331238,0.960335612297058,,,0.8804140686988831,0.78572940287226
b6,0.911404013633728,0.962607204914093,,,0.9637832045555116,0.9095768374164812
c1,0.8268023729324341,0.7670711874961853,,,0.8320298790931702,0.6584995785332959
d5,0.9163150191307068,0.8945158123970032,,,,0.6573531246102033
d9,0.9087018966674804,0.826443612575531,,,0.8430122137069702,0.5866413120988828
e7,0.8962457180023193,0.9611568450927734,,,,0.8005812273754694
f10,0.9360529780387878,0.880348265171051,,,0.9621082544326782,0.8459403890670155
f6,0.829492449760437,0.935035765171051,,,0.9920106530189514,0.7278120292578386
h10,0.8678062558174133,0.872199296951294,,,,0.5027273382095827
h3,0.7378151416778564,0.8851660490036011,,,,0.5079829619541596
h6,0.9173086285591124,0.9384242296218872,,,0.9682193994522096,0.8167497786270215
a9,0.975174605846405,0.9454336762428284,,,,0.794468899166063
b7,0.975291073322296,0.9736506938934326,,,,0.9098433899261628
c5,0.9153979420661926,0.9240180253982544,,,,0.7290008427755408
e10,0.9595597982406616,0.85988849401474,,,0.9873439073562622,0.7200686842670101
e2,0.8993853330612183,0.8424497246742249,,,0.9035504460334778,0.5425760243084863
e5,0.9506609439849854,0.8819273710250854,,,,0.8604182874925632
f2,0.9381909370422364,0.8026003837585449,,,,0.7440654567493855
f3,0.936641812324524,0.7277644276618958,,,0.9132192134857178,0.4677663577131321
f5,0.9579359292984008,0.9176473617553712,,,0.9540681838989258,0.6888412852969815
f7,0.9278264045715332,0.8882898092269897,,,,0.887792129655743
f9,0.9188151955604552,0.8789421916007996,,,,0.8486258154208106
g5,0.925122082233429,0.9132245779037476,,,,0.7908504758980657
g6,0.8839574456214905,0.8536667823791504,,,,0.7946865232579519
h4,0.9372535347938538,0.9482153654098512,,,0.9394315481185912,0.8891389634524055
a5,0.9680721759796144,0.9315257668495178,,,,0.8229818553941827
a8,0.9428497552871704,0.8883556723594666,,,,0.8641760218060219
b1,0.954129993915558,0.8757603764533997,,,,0.8167315047893033
b9,0.9584110379219056,0.9504804015159608,,,0.9694048166275024,0.9181017822632596
c2,0.1773330718278885,0.5600230097770691,,,,0.0933189800174931
d4,0.9345185160636902,0.884139358997345,,,,0.6358178699516607
d6,0.9485238790512084,0.8997666835784912,,,0.9029297232627868,0.8011669658886894
d7,0.9445444941520692,0.9202513098716736,,,,0.7426023510336441
e4,0.9291783571243286,0.961030125617981,,,0.9882246255874634,0.9031020045673688
f8,0.929257869720459,0.9538292288780212,,,0.9664415121078492,0.8034506140284788
g2,0.9100728631019592,0.920637547969818,,,,0.8317164464135666
h7,0.9550276398658752,0.9461467862129213,,,0.9676414132118224,0.839980183304434
h9,0.6403668522834778,0.5810515284538269,,,,0.3413396127681842
a2,0.920702576637268,0.9165664315223694,,,,0.5650473024801841
a4,0.9216973781585692,0.9553075432777404,,,,0.7198204971570885
b5,0.9320924878120422,0.8611874580383301,,,0.953790247440338,0.6690618875855605
d1,0.615217924118042,0.7592581510543823,,,,0.6824463571341981
e1,0.8710117936134338,0.7759426832199097,,,,0.6918711400433984
e3,0.9423649907112122,0.9031784534454346,,,,0.7881915950416792
e8,0.9293984174728394,0.9386013746261596,,,,0.8761581171790834
f1,0.8435409069061279,0.7942413687705994,,,0.825617253780365,0.5701130856219709
f4,0.9410737752914428,0.968583047389984,,,,0.9061621749548856
g1,0.850704550743103,0.8022041916847229,,,0.88477623462677,0.6465866743109874
g7,0.9453099370002748,0.9395213723182678,,,,0.8667647142816346
g8,0.8935027122497559,0.8889906406402588,,,,0.757982205359767
h5,0.9586632251739502,0.9655523896217346,,,,0.8709435747801743
b4,0.926573932170868,0.903208315372467,,,0.9580749273300172,0.6790799031476997
b8,0.5560512542724609,0.6329697370529175,,,,0.5286058046456809
c4,0.8956959247589111,0.8488163352012634,,,0.9259514212608336,0.7689700621351911
c6,0.8414841890335083,0.8938637375831604,,,,0.7289219982471516
d2,0.781626284122467,0.7795019745826721,,,0.8247028589248657,0.7339822057681973
d3,0.7500520348548889,0.8829548954963684,,,,0.7434371978880048
e6,0.8773834109306335,0.7744466066360474,,,0.9605129957199096,0.6720295664325378
e9,0.8850269317626953,0.7643288969993591,,,,0.519042735042735
g3,0.8931901454925537,0.8156497478485107,,,,0.7632506774672921
g4,0.920522689819336,0.8944230079650879,,,,0.86845462613712
g9,0.8890783190727234,0.8246846795082092,,,,0.8987202786612146
h1,0.7701016068458557,0.2415979653596878,,,,0.1150189459180158
h2,0.8155761957168579,0.8404145240783691,,,,0.5072272323129684
c11_p,,,0.955323338508606,0.7325724959373474,0.9546635746955872,0.0091825949088346
c8_p,,,0.9680745601654052,0.6643679141998291,,0.0161037866474023
e10_p,,,0.9665884375572203,0.788655698299408,,0.0084379905808477
e8_p,,,0.8654966354370117,0.6042420864105225,,0.0156275369378145
g10_p,,,0.9417175054550172,0.6798295378684998,0.8868943452835083,0.0139978551673533
h10_p,,,0.9781251549720764,0.7879289388656616,0.947036623954773,0.0034675312978474
h8_p,,,0.9802667498588562,0.6299499273300171,,0.0113819639647942
a10_p,,,0.9656849503517152,0.6308194398880005,,0.0172817145875782
b11_p,,,0.9460886120796204,0.7316128611564636,,0.0540833720750038
b8_p,,,0.9631599187850952,0.6402683854103088,0.952261745929718,0.0557192876394871
d11_p,,,0.9104346036911012,0.8313899636268616,,0.0274871625889007
e11_p,,,0.9354180693626404,0.6512385010719299,0.9302135109901428,0.1711775496411675
g11_p,,,0.9688252210617064,0.7394485473632812,,0.0058521088492245
a8_p,,,0.9363695979118348,0.4131465852260589,0.8913326859474182,0.0714615977395324
a9_p,,,0.9864858984947203,0.6198241710662842,0.97321879863739,0.0767654795629299
d10_p,,,0.9713799357414246,0.8167320489883423,,0.0178506375227686
d8_p,,,0.9281841516494752,0.5384020209312439,0.9387028217315674,0.1096960591702299
f9_p,,,0.9685710072517396,0.6788692474365234,,0.0610633660923557
g8_p,,,0.9037593007087708,0.5936349034309387,,0.0368806016276913
b10_p,,,0.9706109762191772,0.7928286194801331,0.9691012501716614,0.0080278556920398
e9_p,,,0.9568307399749756,0.7966898679733276,,0.007321816725775
f11_p,,,0.9435080885887146,0.6731978058815002,,0.026068404560304
f8_p,,,0.9284854531288148,0.5603093504905701,0.9305817484855652,0.0675429266068986
g9_p,,,0.976526379585266,0.7120383381843567,0.9802623987197876,0.0125269978401727
h9_p,,,0.9721498489379884,0.7583678960800171,,0.0064493013256897
b9_p,,,0.9754028916358948,0.7088776230812073,0.977981448173523,0.0206989130905469
c10_p,,,0.9684592485427856,0.7176093459129333,,0.0076151424178077
c9_p,,,0.9592851996421814,0.7509270310401917,,0.0298819038530359
d9_p,,,0.9645646810531616,0.6276848912239075,0.9601062536239624,0.0166104811523138
f10_p,,,0.954140305519104,0.7579046487808228,,0.0035300606729178
h11_p,,,0.97829669713974,0.8882923722267151,,0.0095996140858658
