,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
a1,0.8264896,,0.82665175,0.92390984,,0.93542767
a2,0.8559231,,0.8429688,0.85994923,,0.88255787
a4,0.9689192,,0.95605785,0.9896935,,0.98405445
a5,0.92940813,,0.89949095,0.96534806,,0.9713567
a6,0.8407324,,0.7742845,0.9795582,,0.9722137
a7,0.9153278,,0.91500187,0.9797653,,0.9798347
a8,0.8840011,,0.8582616,0.9728809,,0.9625043
a9,0.91982245,,0.91940254,0.9804361,,0.98058563
b1,0.85863775,,0.8595772,0.89247525,,0.8876207
b2,0.9558656,,0.9525746,0.9352741,,0.9386896
b4,0.9033446,,0.90836436,0.9895007,,0.9900326
b5,0.88898355,,0.8896385,0.9508655,,0.9491631
b6,0.95792574,,0.9287754,0.98097336,,0.97052586
b7,0.96659106,,0.9513077,0.97256756,,0.9683365
b8,0.68116397,,0.7277741,0.6248179,,0.4781027
b9,0.94969904,,0.9580761,0.96163124,,0.9660897
c1,0.75593805,,0.7603455,0.8368252,,0.83693457
c2,0.549185,,0.5422343,0.13726203,,0.1471289
c4,0.72001576,,0.7687087,0.86247003,,0.91544205
c5,0.7885109,,0.6538319,0.9030151,,0.8854786
c6,0.8463759,,0.84326863,0.7848613,,0.8564833
d1,0.73925793,,0.7415884,0.6268895,,0.61907595
d2,0.79642314,,0.7731531,0.8000797,,0.7925894
d3,0.8776767,,0.8714998,0.7153526,,0.7241472
d4,0.9017665,,0.702612,0.97576,,0.94712627
d5,0.92895305,,0.9289566,0.9570698,,0.9564114
d6,0.90217096,,0.8946693,0.9551086,,0.9512451
d7,0.90721583,,0.9075737,0.92497,,0.9256917
d9,0.37582606,,0.65398145,0.6278924,,0.79497325
e1,0.8494959,,0.8749787,0.9294676,,0.92789555
e10,0.6348537,,0.77681637,0.51449716,,0.9822113
e2,0.876994,,0.9195163,0.87215453,,0.9175197
e3,0.92615014,,0.9286161,0.95895225,,0.95820755
e4,0.9609987,,0.95475566,0.98038787,,0.97850007
e5,0.91333365,,0.91332096,0.9436709,,0.94372207
e6,0.91499084,,0.95008093,0.9580878,,0.95197415
e7,0.96162766,,0.9619481,0.9887545,,0.98880136
e8,0.93977684,,0.9349956,0.96907485,,0.9687612
e9,0.88582957,,0.90137136,0.9856089,,0.9865467
f1,0.91037333,,0.9166618,0.91949916,,0.90231955
f10,0.8511385,,0.8412985,0.9770117,,0.97756934
f2,0.9151423,,0.915646,0.97475374,,0.97445565
f3,0.9160411,,0.9175481,0.9473714,,0.9460527
f4,0.9619571,,0.9724081,0.98798335,,0.99323547
f5,0.956524,,0.95665795,0.9507687,,0.9509775
f6,0.9483981,,0.95965147,0.9886291,,0.9832125
f7,0.9038207,,0.9581512,0.807681,,0.97610253
f8,0.956269,,0.95622265,0.97359866,,0.97314364
f9,0.94727975,,0.9504338,0.9799241,,0.9808594
g1,0.88245046,,0.880071,0.91674006,,0.89308226
g2,0.95537317,,0.9554576,0.986256,,0.9861343
g3,0.93771017,,0.9330585,0.96792656,,0.95803195
g4,0.96805984,,0.96371406,0.9763724,,0.97379285
g5,0.89188707,,0.9647932,0.90144145,,0.9343166
g6,0.94390106,,0.949337,0.97842443,,0.97525907
g7,0.9633217,,0.9495569,0.97839826,,0.98126686
g8,0.951292,,0.9515488,0.96970165,,0.96845144
g9,0.95181805,,0.9672483,0.97111636,,0.98404944
h1,0.6760565,,0.68892604,0.8559707,,0.82023627
h10,0.9073761,,0.80236274,0.85142916,,0.6978578
h2,0.90097034,,0.8962572,0.97413236,,0.9665135
h3,0.85551286,,0.8467634,0.9488496,,0.92745936
h4,0.9354204,,0.86699516,0.9807987,,0.9631951
h5,0.98224485,,0.6325535,0.9872898,,0.9079766
h6,0.92545044,,0.9478022,0.9709539,,0.96334076
h7,0.9462618,,0.94628483,0.9489254,,0.94896984
h9,0.42487004,,0.38066316,0.5488629,,0.53836274
a10_p,,0.68896735,0.6083696,,0.9561635,0.9031754
a8_p,,0.3707446,0.44412938,,0.7948338,0.72371316
a9_p,,0.6173833,0.6154966,,0.966181,0.96616095
b10_p,,0.64496946,0.6846374,,0.9473708,0.94316214
b11_p,,0.72190565,0.7296125,,0.93927264,0.9418397
b8_p,,0.610807,0.60495675,,0.95557106,0.9522955
b9_p,,0.68100196,0.67946863,,0.95995194,0.9599949
c10_p,,0.658581,0.5851333,,0.9585123,0.92506236
c11_p,,0.6756987,0.6656698,,0.94136995,0.94138503
c8_p,,0.5914482,0.5843197,,0.9423656,0.94469
c9_p,,0.6402717,0.6206737,,0.93926215,0.93793523
d10_p,,0.7342867,0.71684694,,0.96059304,0.958893
d11_p,,0.7431271,0.7417963,,0.8850674,0.8850085
d8_p,,0.5363011,0.53411233,,0.9413577,0.9326703
d9_p,,0.5438837,0.51411474,,0.9441833,0.9409982
e10_p,,0.6599852,0.6851788,,0.9366537,0.940696
e11_p,,0.684045,0.68426925,,0.90790546,0.90790665
e8_p,,0.33705536,0.34778166,,0.7499374,0.80338174
e9_p,,0.5966616,0.59297115,,0.9095069,0.9093668
f10_p,,0.49026182,0.41146424,,0.9504165,0.94409716
f11_p,,0.460653,0.52306825,,0.9045185,0.9136994
f8_p,,0.4711354,0.47868338,,0.91318196,0.91663456
f9_p,,0.5769725,0.5607109,,0.91421986,0.9088142
g10_p,,0.6421499,0.60857284,,0.9140609,0.90075296
g11_p,,0.69869393,0.6284737,,0.9529654,0.92610496
g8_p,,0.46848917,0.47164357,,0.8854027,0.8898349
